trial,score,record,avg_score,epsilon,duration_s
72,0,4,0.375,8,4.25
73,8,8,0.479,7,15.07
74,3,8,0.514,6,1.13
75,2,8,0.533,5,3.56
76,10,10,0.658,4,13.23
77,4,10,0.701,3,4.1
78,4,10,0.744,2,3.22
79,6,10,0.81,1,3.15
80,18,18,1.025,0,22.28
81,12,18,1.16,-1,12.39
82,20,20,1.39,-2,27.29
83,9,20,1.482,-3,11.16
84,17,20,1.667,-4,11.81
85,29,29,1.988,-5,21.72
